,Winery,Address,City,Website,Phone
0,3 Monkeys,P.O. Box 10366,Napa,www.3monkeyswine.com,313-3800
1,4 Bears,1370 Trancas Street #327,St. Helena,www.4bearswinery.com,226-1414
3,12 C Wines,P.O. Box 1251,Rutherford,www.12cwines.com,266-8036
4,13 Appellations,4006 Silverado Trail,Napa,www.13appellations.com,866 484-4783
5,29 Songs,1668 F Street,Napa,www.29songs.com,738-8108
8,Abigail Adams Wine Co,P.O. Box 2200,Yountville,www.abigailadamswines.com,944-1132
9,Abiouness Wine,2041 Olive Avenue St,St. Helena,www.abiounesswines.com,963-1546
10,Abreu Vineyard,2366 Madrona Road,St. Helena,www.abreuvineyards.com,963-7487
11,Acacia Winery,2750 Las Amigas Road,Napa,www.acaciavineyard.com,226-9991
12,Ackerman Family Vineyards,2101 Kirkland Ave,Napa,www.ackermanfamilyvineyards.com,226-6696
13,Adams Ridge Winery,3181 Kingston Avenue ,Napa,www.adamsridgewinery.net,226-3185
14,Adastra Wines,2545 Las Amigas Rd,Napa,www.adastrawines.com,255-4818   
15,Aetna Springs Cellars,7227 Pope Valley Road    ,Pope Valley,www.aetnaspringscellars.com,965-2675          
16,A.Faustini,270 Kruezer Lane,Napa,www.afaustini.com,736-6050
17,Ahnfeldt Wines,P.O. Box 6078,Napa,www.ahnfeldtwines.com,253-1139
18,Alante Vineyard,1156 York Lane,St. Helena,www.alantevineyard.com,967-4100
19,Alex Soltelo Cellars,4154 Burgandy Way,Napa,www.alexsotelocellars.com,224-5920
20,Allora Wines,3244 Elhlers Lane,St. Helena,www.allorawines.com,963-6071
21,Alpha Omega Winery,Hwy 29 at 1155 Mee Lane ,Rutherford,www.aowinery.com,942-0167
22,Altamura Vineyards & Winery,1700 Wooden Valley Road,Napa,www.altamura.com,253-2000 
23,Amazon Ranch,3738 Linda Vista Ave,Napa,www.amazonranch.com,226-1281
24,American Roots Winery,4380 Dale Drive,Napa,www.americanrootswinery.com,225-4686
25,Amethyst Winery,1339 Pearl St. Suite #201,Napa,www.amethystwines.com,265-6733   
26,Amici Cellars,P.O. Box 399,Rutherford,www.amicicellars.com,967-9560
27,Amizetta,1099 Greenfield Rd,St. Helena,www.amizetta.com,963-1460
30,Amuse Bouche,135 Camino Dorado Ste. 8,Napa,www.amusebouchewine.com,251-9700
31,Ancien Wines,4047 E. Third Ave,Napa,www.ancienwines.com,255 - 6104
32,Anderson's Conn Valley,680 Rossi Road,St. Helena,www.connvalleyvineyards.com,800 946-3497
33,Andesite Vineyard,4011 Spring Mountain Road,St. Helena,www.andesitevineyard.com,963-8895
34,Andretti Winery,4162 Big Ranch Road ,Napa,www.andrettiwinery.com,259-6777
35,Andrew Geoffrey Vineyard,836 Chiles Avenue,St. Helena,www.andrewgeoffrey.com,968-9770
36,Andrew Lane Winery,742 Sunnyside Road,St. Helena,www.andrewlanewines.com,815-3501
38,Anomaly Vineyards,P.O. Box 741,St. Helena,www.anomalyvineyards.com,967-8448
39,Antica Napa Valley,3149 Soda Canyon Road,Napa,www.anticanapavalley.com,265-8866
40,Aonair Wine,P.O. Box 6048,Napa,www.aonairwine.com,363-0680
41,Araujo Estate Wines,2155 Pickett Road,Calistoga,www.araujoestate.com,942-6061
42,Ardente Winery,2929 Atlas Peak Road,Napa,www.ardentewinery.com,226-7669
43,Arger-Martucci Vineyards,1455 Inglewood Avenue ,St. Helena,www.arger-martucci.com,963-4334
44,Arete Wines,110 Camino Oruga,Napa,www.aretewinecellars.com,200-1060
45,Arietta,3468 Silverado Trail,Oakville,www.arietta-wine.com,963-5918
46,Arkenstone Winery,335 West Lane,Angwin,www.arkenstonewine.com,888-6549
47,Armstrong Ranch,30 Kortum Canyon Road,Calistoga,www.armstrongranchwines.com,942-4488
48,Arns Winery,P.O. Box 652,St. Helena,www.arnswinery.com,963-3429
49,Arrow & Branch,3003 Hagen Road,Napa,www.arrowandbranch.com,927-3640
50,Artesa Winery,1345 Henry Road ,Napa,www.artesawinery.com,224-1668
51,Ashe Family Vineyards,7688 St. Helena Highway,Oakville,www.ashefamilyvineyards.com,982-8000
52,Astrale e Terra,5017 Silverado Trail,Napa,www.astraleeterra.com,255-1134
53,Atalon Winery,3299 Bennett Lane ,Calistoga,www.atalon.com,800 224-4090
54,Atlas Peak,3700 Soda Canyon Road ,Napa,www.atlaspeak.com,252-7971
55,Au Sommet,135 Camino Dorado,Napa,www.ausommetwine.com,251-9300
56,Aubert Wines,333 Silverado Trail,Calistoga,www.aubertwines.com,963-4569
57,August Briggs,1307-B Lincoln Avenue,Calistoga,www.augustbriggswines.com,942-4912
58,Aum Cellars,P.O. Box 774,Napa,www.aumcellars.com,266-8803
60,Autumn Moon Cellars,3310 Scenic Drive,Napa,www.autumnmooncellars.com,226-1866
61,Axios,9198 Red Branch Rd. St. H,Columbia MD,www.axioswine.com,410 309-9463
62,Azalea Springs,4301 Azalea Springs Way,Calistoga,www.azaleasprings.com,942-4811
63,Azur Wines,2537 Main Street,Napa,www.azurwines.com,812-4203
64,B. Kosuge Wines,P.O. Box 5413,Napa,www.bkosugewines.com,738-8396
65,B Cellars,400 Silverado Trail,Calistoga,www.bcellars.com,709-8787
66,Bacio-Divino,P.O. Box 131,Rutherford,www.baciodivino.com,942-8101
68,Baldacci Vineyards,6236 Silverado Trail,Yountville,www.baldaccivineyards.com,944-9261
69,Ballentine Vineyards,2820 St. Helena Highway N,St. Helena,www.ballentinevineyards.com,963-7919
70,Banknote Wines,P.O. Box 2535,Napa,www.banknotewines.com,815-8453
71,Barbour Vineyards,975 Vintage Ave Ste. D,St. Helena,www.barbourvineyards.com,963-0540
72,Bardessono Vineyards,1901 Finnell Road,Yountville,www.bardessonovineyards.com,815-2502
73,Barlow Vineyards,4411 Silverado Trail ,Calistoga,www.barlowvineyards.com,942-8742
74,Barnett Vineyards,4070 Spring Mountain Road ,St. Helena,www.barnettvineyards.com,963-7075
76,Bartalotti Wine Company,P.O. Box 6992,Napa,www.bartalotti.com,927-4122
77,Baxter,P.O. Box 4261,St. Helena,www.baxterwinery.com,963-0121
78,Beau Vigne,P.O. Box 6412,Napa,www.beauvigne.com,265-7781
79,Beaucanon Estate,1006 Monticello Road,Napa,www.beaucanonestate.com,254-1460
80,Beaulieu Vineyard (BV),1960 St. Helena Highway ,Rutherford,www.bvwines.com,967-5230
81,Bell Wine Cellars,6200 Washington Street,Yountville,www.bellwine.com,944-1673 
82,Bella Vetta Vineyards,896 Ponderosa Drive,Angwin,www.bellavetta.com,965-0801
83,Bello Family Vineyards,8424 St. Helena Highway,Rutherford,www.bellofamilyvineyards.com,967-8833
84,Belo Wine Co,P.O. Box 175,St. Helena,www.belowine.com,967-9661
85,Benessere Vineyards,1010 Big Tree Road,St. Helena,www.benesserevineyards.com,963-5853
86,Bennett Lane Winery,3340 Highway 128 ,Calistoga,www.bennettlane.com,942-6684
87,Beringer,2000 Main St ,St. Helena,www.beringer.com,967-4412
88,Bettinelli Vineyards,1241 Adams St #1029,St. Helena,www.bettinelli.com,480-1935
89,Bevan Cellars,3900 Matanzas Creek Ln,Santa Rosa,www.bevancellars.com,332-2918
91,Bialla Vineyards,4088 Atlas Peak Road,Napa,www.biallavineyards.com,415 606-6629
92,Bighorn Cellars,3105 Silverado Trail,Napa,www.bighorncellars.com,226-8569
93,Black Cat Vineyard,1075 Shadybrook Lane,Napa,www.blackcatvineyard.com,321-0866
94,Black Cordon Vineyard,4155 Dry Creek Road,Napa,www.blackcordonvineyard.com,226-6860
95,Black Coyote Chateau,2400 Third Street,Napa,www.blackcoyotewines.com,252-2292
96,Black Sears Winery,2615 Summit Lake Drive,Angwin,www.blacksears.com,963-1334
97,Black Stallion,4089 Silverado Trail,Napa,www.blackstallionwinery.com,253-1400
98,Blackbird Vineyards,5033 Big Ranch Road,Napa,www.blackbirdvineyards.com,252-4444
99,Blankiet Estate,P.O. Box 2100,Yountville,www.blankiet.com,963-2001
100,Blue Hall Vineyard,White Cottage Lane,Angwin,www.bluehallvineyard.com,888 700-4114
101,Boeschen Vineyards,3242 Silverado Trail,St. Helena,www.boeschenvineyards.com,963-3674
102,Bolen Vineyards,3277 Dry Creek Road,Napa,www.bolenlegacy.com,812-4908
104,Bond Estates,P.O. Box 4261,Oakville,www.bondestates.com,944-9445
105,Boodeaux Vineyards,1965 Capell Valley Road,Napa,http://boodeaux.blogspot.com/,258-8687
106,Bouchaine Vineyards,1075 Buchli Station Road ,Napa,www.bouchaine.com,252-9065
107,Bounty Hunter,975 First Street,Napa,www.bountyhunterwine.com,252-5454
108,Bourassa Winery,190 Camino Oruga Ste. 5,Napa,www.bourassavineyards.com,800 499-2366
109,Boyanci Wines,135 Camino Dorado Suite 12,Napa,www.boyanciwine.com,255-7800
110,Boyd Family Vineyards,4042 Big Ranch Road,Napa,www.boydwine.com,254-7353
112,Bravante Vineyards,330 Stone Ridge Road,Angwin,www.bravantevineyards.com,972-1114
113,Breckenridge Wine Co,P.O. Box 123,St. Helena,www.breckenridgewines.com,963-7761
114,Bremer Family,975 Deer Park Road ,St. Helena,www.bremerfamilywinery.com,963-5411
115,Bressler Vineyards,1891 Vallejo Street,St. Helena,www.bresslervineyards.com,963-2903
116,Brick Angel,238 Manzanita Lane,Napa,http://brickangel.googlepages.com,966-2822
117,Bridesmade Wines,P.O. Box 812,Rutherford,www.bridesmaidwines.com,963-2705
118,Broman Cellars,945 Deer Park Road,St. Helena,www.bromancellars.com,800 514-4401
119,Brookdale Vineyards,4006 Silverado Trail,Napa,www.brookdalewine.com,258-1454
120,Brookman Cellars,P.O. Box 1021,St. Helena,www.brookmancellars.com,266-8525
121,Brown Estate,3233 Sage Canyon Road,St. Helena,www.brownestate.com,963-2435
122,Bryant Family,1567 Sage Canyon Road,St. Helena,www.bryantwines.com,963-0483
123,Buccella,P.O. Box 3838,Oakville,www.buccellawines.com,944-1000
124,Buehler Vineyards,820 Greenfield Road ,St. Helena,www.buehlervineyards.com,963-2155 
125,Buoncristiani Family,P.O. Box 6946,Napa,www.buonwine.com,259-1681
126,Burgess Cellars,1108 Deer Park Road ,St. Helena,www.burgesscellars.com,963-4766
127,Burly Cellars,4446 Stillson St,Napa,www.burlywine.com,299-7085
128,Ca' Momi Wines,2515 Napa Valley Corp. Dr,Napa,www.camomiwines.com,252-6664
129,C Beck Wine,1136 Edwards Street,St. Helena,www.cbeckwines.com,967-9776
130,Cade Mountain Winery,360 Howell Mountain Road,Angwin,www.cadewinery.com ,945-1220
131,Cafaro Cellars,Winery Address N/A,St. Helena,www.cafaro.com,963-7181
132,Cain,3800 Langtry Road ,St. Helena,www.cainfive.com,963-1616
133,Cakebread,8300 St. Helena Highway ,Rutherford,www.cakebread.com,963-5222
134,Calafia Cellars,629 Fulton Lane,St. Helena,www.calafiacellars.com,963-0114
135,Caldwell Cave Winery,270 Kruezer Lane,Napa,www.caldwellvineyard.com,255-1294
136,Cali 351,Silverado Trail,Calistoga,www.cali351.com,631-5161
137,Calistoga Cellars,Main Street,St. Helena,www.calistogacellars.com,942-7422
139,Canard Vineyard,1016 Dunaweal Lane,Calistoga,www.canardvineyard.com,942-1149
140,Cardinale Estate,7600 St. Helena Highway ,Oakville,www.cardinale.com ,948-2643 
141,Carneros Della Notte,720 Airpark Road,Napa,www.carnerosdellanotte.com,495-2464
142,Carrefour Vineyards,1180 Monticello Road,Napa,www.carrefourvineyards.com,252-9167
143,Carter Cellars,1170 Tubbs Lane,Calistoga,www.cartercellars.com,445-0311
144,Cartlidge and Browne,205 Jim Oswald Way #B,A. Canyon,www.cartlidgebrowne.com,800 799-8055
145,Carver Sutro,3106 Palisades Ave,Calistoga,www.carversutro.com,942-1029
146,Casa Carneros,1159 Bayview Ave,Napa,www.casacarneros.com,257-8713
147,Casa Nuestra,3451 Silverado Trail ,St. Helena,www.casanuestra.com,963-5472 
149,Castello di Amorosa,4045 North St Helena Hwy ,Calistoga,www.castellodiamorosa.com,942-8200
151,Cavus Vineyards,100 Swan Way Ste. 206,Oakland,www.cavusvineyards.com,510 430-9701
152,Caymus Vineyards,8700 Conn Creek Road,Rutherford,www.caymus.com,967-3010
153,Cederquist Wine Co,1812 Michael Way,Calistoga,www.cederquistwineco.com,293-4014
154,Ceja Estate,1016 Las Amigas Road ,Napa,www.cejavineyards.com,255-3954
155,Celani Family Vineyards,2230 Big Ranch Road,Napa,www.cfvineyards.com,877 273-6731
156,Chameleon Cellars,1330 Sylvaner Ave,St. Helena,www.chameleoncellars.com,256-0144
157,Chanticleer,4 Vineyard View Drive,Yountville,www.chanticleerwine.com,945-0566
158,Chappellet,1581 Sage Canyon Road,St. Helena,www.chappellet.com,963-7136
159,Charity Case Foundation,3750 Silverado Trail,Napa,www.charitycase.org,738-5155
160,Charles Krug,2800 Main Street,St. Helena,www.charleskrug.com,967-2200
161,Charnu Winery,P.O. Box 852,St. Helena,www.charnuwinery.com,963-6045
162,Charter Oak Winery,1636 Scott Street,St. Helena,www.charteroakwine.com,963-2298
163,Chase Family Cellars,2252 Sulphur Springs,St. Helena,www.chasecellars.com,963-1284
164,Chateau Boswell,3468 Silverado Trail,St. Helena,www.chateauboswellwinery.com,963-5472 
165,Chateau de Vie,3250 Highway 128,Calistoga,www.cdvnapavalley.com/boutique.htm,877 558-2513
166,Chateau Montelena,1429 Tubbs Lane ,Calistoga,www.montelena.com,942-5105
167,Chateau Potelle,975 Washington Street,Napa,www.chateaupotelle.com ,255-9440
168,Checkerboard Vineyards,4325 Azalea Springs Way,Calistoga,www.checkerboardvineyards.com,942-8512
169,Chercher Trouver Wines,223 Old Vine Way,Napa,www.trouverwines.com,226-1908
170,Chiarello Family,1241 Adams Street #145,St. Helena,www.chiarellovineyards.com,256-0750
171,Chimney Rock,5350 Silverado Trail ,Napa,www.chimneyrock.com,257-2641x3206
172,Chinnock Cellars,4336 Summerfield Drive,Napa,www.chinnockcellars.com,259-1628
173,Cimarossa,P.O. Box 573,Angwin,www.cimarossa.com,510 665-4608
174,Clark-Claudon,P.O. Box 15,St. Helena,www.clarkclaudon.com,965-9393
175,Cleavage Creek,6307 Pope Valley Road,Pope Valley,www.cleavagecreek.com,888 295-1280
176,Clif Bar Family Winery,1030 Main Street Suite 300,St. Helena,www.cliffamilywinery.com,968-0625
177,Cliff Lede,1473 Yountville Cross Road ,Yountville,www.cliffledevineyards.com,944-8642 
178,Clos Du Val,5330 Silverado Trail  ,Napa,www.closduval.com,261-5200
179,Clos Pegase,1060 Dunaweal Lane ,Calistoga,www.clospegase.com,942-4981x213
180,Clos Valmi,7148 Silverado Trail,Napa,None,944-8042
181,Cobblestone Wines,150 Cotner Ave,LA,www.cobblestonewine.com,259-1110
182,Cockerell Wines,P.O. Box 493,Calistoga,www.cockerellwines.com,942-4534
183,COHO,P.O. Box 5726,Napa,www.cohowines.com,258-2566
184,Colgin Cellars,P.O. Box 254,St. Helena,www.colgincellars.com,963-0999
185,Coniglio Wines,543 Mund Road,St. Helena,www.conigliowines.com,888 726-6796
186,Conn Creek/Villa Mt. Eden,8711 Silverado Trail ,St. Helena,www.conncreek.com,963-9100
187,Constant Diamond Mountain,2121 Diamond Mountain Rd,Calistoga,www.constantwine.com,942-0707
189,Continuum,P.O. Box 112,Oakville,www.continuumwine.com,944-8100
190,Cook Family Winery,264 Crystal Springs Road,St. Helena,www.cookwinery.com,963-7760
191,Corison,987 St. Helena Highway,St. Helena,www.corison.com,963-0826
192,Cornerstone Cellars,P.O. Box 10767,Napa,www.cornerstonecellars.com,877 686 3286 
193,Corra,1241 Adams St. #1024,St. Helena,www.corrawines.com,963-4523
194,Corte Riva,3065 Muledeer Lane,Santa Rosa,www.corteriva.com,573-1801
196,Cosentino,7415 St. Helena Highway ,Yountville,www.cosentinowinery.com,944-1220 
197,Cosmos Cellars,P.O. Box 61,Laguna Bch,www.cosmoscellars.com,949 494-9463
198,Coupe de Foudre,135 Camino Dorado,Napa,www.coupdefoudrewine.com,235-8300
199,Courtesan Wines,P.O. Box 30,Rutherford,www.courtesanwines.com,415 713-5331
200,Covenant Wines,930 N. Crane Ave,St. Helena,www.covenantwines.com,963-3887
201,Crane Brothers,1460 Pine Street,Napa,www.cranebrotherssyrah.com,257-7217
202,Crane Family,1051 Borrett Lane,Napa,www.cranefamilyvineyards.com,259-0175
203,Crazy Flower Wines,1067 Sunset Rd,Napa,www.crazyflowerwines.com,252-6103
204,Crocker & Starr,P.O. Box 987,St. Helena,www.crockerstarr.com,967-9111
205,Crosby Roamann,1832 Soscal Ave Suite 115,Napa,www.crosbyroamann.com,266-6291
206,Croze (Smith Wooton Label),P.O. Box 2679,Yountville,www.croze-cab.com,944-9247
207,Culler Wines,P.O. Box 3017,Yountville,www.cullerwines.com,257-0567
208,Cuvaison Napa,1221 Duhig Road ,Napa,www.cuvaison.com,255-7321
209,Cuvaison St. Helena,4550 Silverado Trail N,St. Helena,www.cuvaison.com,942-2468
210,Cyrus Creek,P.O. Box 576,Calistoga,www.cyruscreek.com,415 282-8385
211,D'Anneo Vineyard,1085 Dunaweal Lane,Calistoga,www.danneovineyard.com,916 534-9684
212,D Cubed,P.O. Box 771,Angwin,www.dcubedcellars.com,963-5212
213,D.R. Stephens Estate,1860 Howell Mountain Rd,St. Helena,www.drstephenswines.com,963-2908
214,Dalla Valle,7776 Silverado Trail,Napa,www.dallavallevineyards.com,944-2676
215,Dana Estates,P.O. Box 153,Rutherford,www.danaestates.com,963-4365
216,Dancing Hares Vineyard,P.O. Box 853,St. Helena,www.dancinghares.com,967-8296
218,Darioush,4240 Silverado Trail ,Napa,www.darioush.com,257-2345
219,Darms Lane Wine,1150 Darms Lane,Napa,www.darmslanewine.com,224-4218
220,Daviana Winery,2456 Third Ave,Napa,www.davianawinery.com,251-0173
221,David Arthur Vineyards,1521 Sage Canyon Road,St. Helena,www.davidarthur.com,963-5190
222,David Fulton Winery,825 Fulton Lane,St. Helena,www.davidfultonwinery.com,967-0719
225,Deguello Wine,500 Dallas St. Suite 500,Dallas TX,www.deguellowine.com,713 298-2878
226,Del Bondio Family Winery,1333 Bella Oaks Lane,Napa,www.delbondio.com,963-2805
227,Del Dotto Estate,1445 Highway 29,St. Helena,www.deldottovineyards.com,963-2134
228,Del Dotto Vineyards,11055 Atlas Peak Road,Napa,www.deldottovineyards.com,963-2134
229,Delectus Winery,908 Enterprise Way #C,Napa,www.delectuswinery.com,255-1252
230,Delgadillo Cellars,995 Vintage Ave #103,St. Helena,www.dcellars.com,963-1729
232,DeSante Wines,P.O. Box 1027,St. Helena,www.desantewines.com,968-9264
233,Destino Wines,1325 Imola Ave West,Napa,www.destinowines.com,800 8621737
234,Detert Family Vineyards,1746 Vineyard Ave,St. Helena,www.detert.com,877 817-0466
235,Diamond Creek Vineyards,1500 Diamond Mountain Rd,Calistoga,www.diamondcreekvineyards.com,942-6926
237,Diamond Terrace,1391 Diamond Mtn. Road,Calistoga,www.diamondterrace.com,942-1189
238,Dillon Vineyards,6206 Washington Street,Yountville,www.dillonvineyards.com,944-1588
239,Diogenes Wine Co,P.O. Box 6348,Napa,www.diogeneswines.com,877 360-9463
240,Dolce,P.O. Box 327,Oakville,www.dolcewine.com,944-8868
241,Domain Chandon,1 California Drive,Yountville,www.chandon.com,944-2280
242,Domain Charbay,4001 Spring Mountain Road,St. Helena,www.charbay.com,963-9327
243,Domain Georg Rafael,2222 Third Ave,Napa,www.georgrafaelvineyards.com,254-9489
244,Domaine Carneros,1240 Duhig Rd,Napa,www.domaine.com,800 716-2788
245,Dominari,Trancas Ave,Napa,www.dominari.com,226-1600
246,Dominus Estate,2570 Napanook Road,Yountville,www.dominusestate.com,944-8954
248,Downing Family Vineyards,Address N/A,Napa,www.dfwines.com,237-3444
249,Drinkward Peschon,1547 Main Street,St. Helena,www.drinkwardpeschon.com,963-6156
250,Duckhorn,1000 Lodi Lane,Calistoga,www.duckhornvineyards.com,963-7108
252,Dunn Vineyards,805 White Cottage Road,Angwin,www.dunnvineyards.com,965-3642
253,Dusinberre Cellars,1091 Larkmead Lane ,St. Helena,www.winecal.com,326-3220
254,Dutch Henry Winery,4310 Silverado Trail,Calistoga,www.dutchhenry.com,942-5771
255,Dyer Wine,1501 Diamond Mountain Rd,Calistoga,www.dyerwine.com,942-5502
256,Eagle and Rose Estate,1844 Pope Canyon Road,Pope Valley,www.eagleandrose.com,965-9463
257,Eagle Eye,6595 Gordon Valley Road,Napa,www.eagleeyewine.com,427-1600
258,Eagle's Trace,680 Rossi Road,St. Helena,www.eaglestrace.com,963-4412
259,Edge,P.O. Box 4234,Napa,www.edgewines.com,258-9766
260,Edge Hill,P.O. Box 105,Oakville,www.edgehill.com,944-8577x112
261,Eeden Wines,24 Coronado Ave,Los Altos,www.eedenwines.com,650 949-1752
262,Egelhoff Wines,1397 Sylvaner Ave,St. Helena,www.bobegelhoff.com,963-4015
263,Ehlers Estate,3222 Ehlers Lane ,St. Helena,www.ehlersestate.com,963-5972
264,El Molino Winery,3781 Silverado Trail,St. Helena,www.elmolinowinery.com,963-3632
265,Elan Vineyards,4500 Atlas Peak Road,Napa,www.elanvineyards.com,252-3339
266,Elizabeth Spencer,1165 Rutherford Road ,Rutherford,www.elizabethspencerwines.com,963-6067
267,Elkhorn Peak Cellars,200 Polson Road,Napa,www.elkhornpeakcellars.com,255-0504
268,Ellicock Family Winery,P.O. Box 931,Yountville,www.anterrawine.com,257-2930
269,Ellman Family Vineyards,3212 Jefferson St. #238,Napa,www.ellmanfamilyvineyards.com,260-7654
270,Elyse,2100 Hoffman Lane,Napa,www.elysewinery.com,944-2900 
271,Emerson Brown Wines,4281 Dale Drive,Napa,www.emersonbrownwines.com ,257-1686
272,EMH Vineyards,25 Rosedale Road,Calistoga,www.emhvineyards.com,942-1393
273,Emmolo Wine Co.,P.O. Box 741,Rutherford,www.emmolowines.com,963-6075
274,Encanto Vineyards,Vintage Lane,St. Helena,www.encantovineyards.com,967-9934
275,Envy Wines,1170 Tubbs Lane,Calistoga,www.envywines.com,942-4670
276,Eponymous,P.O. Box 438,Oakville,www.eponymouswines.com,257-7393
277,Erba Mountainside,P.O. Box 3349,Napa,www.erbamountainsidevineyards.com,320-8722
278,Erna Schein,4078 Spring Mountain Rd.,St. Helena,www.ernaschein.com,942-4433
279,Esca,1613 Main Street,Napa,www.escawines.com,251-9029
280,Etude,1250 Cuttings Wharf Road,Napa,www.etudewines.com,257-5300
281,Failla,3530 Silverado Trail,St. Helena,www.faillawines.com ,963-0530
282,Fairchild Family Vineyards,P.O. Box 807,St. Helena,www.fairchildwines.com,866 725-7503
283,Falcor Wine Cellars,1606 Main Street #206,Napa,www.falcorwines.com,255-6070
284,Fantesca Estate,2920 Spring Mountain Road,St. Helena,www.fantesca.com,968-9229
285,Far Niente ,1350 Acacia Drive ,Oakville,www.farniente.com,944-2861
286,Farella Vineyard,2222 North Third Avenue ,Napa,www.farella.com,254-9489
287,Faustini Wines,270 Kruezer Lane,Napa,www.faustiniwines.com,736-6050
288,Favia Wine,5074 Old Sonoma Road,Napa,www.faviawine.com,812-2546
291,Fir Hill Ranch,1853 Fir Hill Drive,St. Helena,http://firhillranch.wordpress.com,287-8605
293,Five Vintners,1985 Vineyard Ave,St. Helena,www.fivevintners.com,688-9219
294,Fleury Estate,950 Galleron Lane ,Rutherford,www.fleurywinery.com,974-9951
295,Flora Springs Estate,1978 West Zinfandel Lane,St. Helena,www.florasprings.com,967-6723
296,"Flora Springs, The Room",677 S. St. Helena Hwy,St. Helena,www.florasprings.com,967-8032
297,Flying Horse Winery,1600 Aetna Springs Road,Pope Valley,www.flyinghorsewines.com,965-1600
298,Folie A Deux,7481 St. Helena Highway ,Oakville,www.folieadeux.com,944-2565
299,Folio Wines,1285 Dealy Lane,Napa,www.foliowine.com,253-2757
300,Fontanella Family Winery,1721 Partrick Road,Napa,www.fontanellawinery.com,252-1017
301,Forlorn Hope Wines,2787 Indiana Street,Napa,www.forlornhopewines.com,256-9980
302,Forman Vineyards,1501 Big Rock Road,St. Helena,www.formanvineyard.net,963-3900
303,Fortunati Vineyards,986 Salvador Ave,Napa,www.fortunativineyards.com,255-9300
304,Four Cairn,P.O. Box 241,Rutherford,www.fourcairn.com,927-0769
305,Fotinos Brothers Winery,2762 Pine Street,Napa,www.fotinosbrotherswinery.com,224-4464
306,Franciscan Oakville Estate,1178 Galleron Road ,St. Helena,www.franciscan.com,967-3993 
307,Frank Family Vineyards,1091 Larkmead Lane ,Calistoga,www.frankfamilyvineyards.com,800 574-9463 
308,Franus Wine Company,2055 Hoffman Lane,Yountville,www.peterfranus.com,945-0542
309,Franz Hill Vineyard,P.O. Box 168,St. Helena,www.franzhillvineyard.com,963-0230
310,Frazier Winery,70 Rapp Lane,Napa,www.frazierwinery.com,255-3444
311,Freemark Abbey,3022 St Helena Highway N,St. Helena,www.freemarkabbey.com,963-9698 X241
312,Frias Family Vineyard,3125 North St. Helena Hwy,St. Helena,www.friasfamilyvineyard.com,415 566-2419
313,Frog's Leap Winery,8815 Conn Creek Road,Rutherford,www.frogsleap.com,963-4704
315,Fuse Wine,P.O. Box 2041,Napa,www.fusewine.com,265-6492
316,Futo Family Estate,P.O. Box 410,Oakville,www.futofamily.com,944-9333
317,G Wine Cellars,44 N. Blue Oak Lane,Napa,www.gwinecellars.com,363-0680
318,Gabrielle Collection,4104 Dry Creek Road,Napa,www.gwines.net,257-2600
