,Winery,Address,City,Website,Phone
319,Galleron Signature Wines,P.O. Box 2,Rutherford,www.galleronwine.com,265-6552
320,Gallica Wine,P.O. Box 808,St. Helena,www.gallicawine.com,963-1096
321,Gamble Family Vineyards,P.O. Box 128,Oakville,www.gamblefamilyvineyards.com,9444-2999
322,Gandona Estate,1535 Sage Canyon Road,St. Helena,www.gandona.com,967-5550
323,Gargiulo Vineyards,575 Oakville Crossroad,Napa,www.gargiulovineyards.com,944-2770 
325,Gauthier Cellars,1339 Pearl St #201,Napa,www.gauthiercellars.com,287-5897
326,Gemella Wines,P.O. Box 463,Napa,www.gemellawines.com,261-9855
327,Gemstone Vineyard,7153 Silverado Trail,Napa,www.gemstonewine.com,944-0944
328,Ghost Horse World,680 Rossi Road,St. Helena,www.ghosthorseworld.com,322-8025
329,Givich Vineyards,6015 Steele Canyon Road,Sunnyvale,www.givichvineyards.com,650 697-4427
330,Girard Winery,6795 Washington Street,Yountville,www.girardwinery.com,968-9297
332,Godspeed Vineyards,3655 Mount Veeder Rd,Napa,godspeedvineyards.webs.com,254-7766
333,Goosecross Cellars,1119 State Lane,Yountville,www.goosecross.com,944-1986
334,Grace Family Vineyards,1210 Rockland Drive,St. Helena,www.gracefamilyvineyards.com,963-0808
335,Grade Cellars,P.O. Box 22,Calistoga,www.thegradevineyard.com,967-8200
336,Grassi Wine Company,1213 Coombs Street,Napa,www.grassiwines.com,224-7142
337,Grasso Vineyard,1050 Olive Hill Lane,Napa,www.grassovineyard.com,252-1999
338,Green & Red Vineyard,3208 Chiles-Pope Valley,Napa,www.greenandred.com,965-2346
339,Greyscale Wines,P.O. Box 213,Orinda,www.greyscalewines.com,925 255-5187
340,Grgich Hills,1829 St. Helena Highway ,Rutherford,www.grgich.com ,963-2784
341,Gridley Family Cellars,P.O. Box 2383,St. Helena,www.gridleyfamilycellars.com,965-9900
342,Groppallo,6101 Vallejo Street,Emeryville,www.groppallo.com,510 655-3355
343,Groth,750 Oakville Cross Road,Oakville,www.grothwines.com,944-0290
344,Guffy Family Wines,1390 Thompson Ave,Napa,www.guffyfamilywines.com,258-2532
345,Guilliams,3851 Spring Mountain Rd,St. Helena,www.guilliamswinery.com,963-9059
346,Gustavo Thrace,1146 First St,Napa,www.gustavothrace.com,257-6796
347,Haber Family Winery,167 Parrot Road,New York,www.haberfamilyvineyards.com,845 638-3188
348,Habitat Wines,P.O. Box 434,Oakville,www.habitatwines.com,866 422-4818
349,Hagafen Cellars,4160 Silverado Trail ,Napa,www.hagafen.com,252-0781 
350,Hall Winery St. Helena,401 St. Helena Highway S,St. Helena,www.hallwines.com,967-2620
351,"Hall Winery, Rutherford",56 Auberge Road,Rutherford,www.hallwines.com,967-0700
352,Harlan Estate,1567 Oakville Grade,Oakville,www.harlanestate.com,944-1441
353,Harris Estate,225 Franz Valley School Rd,Calistoga,www.harrisestatevineyards.com,942-1513
354,Hartwell Vineyards,5795 Silverado Trail,Napa,www.hartwellvineyards.com,255-4269
355,Hayfork Wine Co,1795 Lewelling Lane,St. Helena,www.hayforkwine.com,227-4438
356,HdV Vineyards,588 Trancas Street,Napa,www.hdvwines.com,251-9978
357,Heibel Ranch Vineyards,1241 Adams St. #1043,St. Helena,www.hrvwines.com,968-9289
358,Heitz Cellars,436 St. Helena Highway S,St. Helena,www.heitzcellar.com,963-3542
359,Helena View Johnston,3500 Highway 128,Calistoga,www.helenaview.com,942-4956
360,Hendry,3104 Redwood Road,Napa,www.hendrywines.com,226-8320
361,Herb Lamb Vineyard,P.O. Box 225,St. Helena,www.herblambvineyard.com,967-9752
362,Hesperian Wines,Atlas Peak Road,Napa,www.hesperianwines.com,927-3787
363,Hess Collection,4411 Redwood Road,Napa,www.hesscollection.com ,255-1144
364,Hestan Vineyards,One Meyer Plaza,Vallejo,www.hestan.com,551-2882
365,Hidden Ridge,4225 Solano Ave,Napa,www.hiddenridgevineyard.com,707 481-7021
366,Highlands Winery,P.O. Box 3239,Napa,www.highlandswinery.com,603-2096
367,Hill Family Estate,6512 Washington Street,Yountville,www.hillfamilyestate.com ,944-9580
368,Hollywood & Vine Cellars,P.O. Box 63,Rutherford,www.hollywoodandvineinc.com,967-9128
369,Honig Winery,850 Rutherford Road ,Rutherford,www.honigwine.com,963-5618 x318
370,Hoopes Family,1380 Yount Mill Road,Napa,www.hoopesvineyard.com,944-1869
371,Hope & Grace,6540 Washington Street,Yountville,www.hendrickswines.com,944-2500
372,Hopper Creek Winery,6204 Washington Street,Yountville,www.hoppercreek.com,944-0675
373,Hourglass,"1104 Adams St., Ste 103",St. Helena,www.hourglasswines.com,968-9332
375,Howell At The Moon,1221 Jones Street,SF,www.howellatthemoonwine.com,415 310-8628
376,Howell Mountain Vineyards,P.O. Box 693,Rutherford,www.howellmountain.com,967-9676
377,Hudson Vineyards,5398 Carneros Highway,Napa,www.hudsonvineyards.com,255-1455
378,Hugo Family Cellars,24 Geraldine Court,Napa,www.hugofamilycellars.com,927-3319
379,Humanitas Wine Co,1081 Round Hill Circle,Napa,www.humanitaswines.com,259-0349
380,Hundred Acre,P.O. Box 380,Rutherford,www.hundredacre.com,967-9398
381,Hunnicutt Wines,2611 Colombard Court,St. Helena,www.hunnicuttwines.com,963-2908
382,Hunter III Wines,3340 Highway 128 ,Calistoga,www.hunteriiiwines.com,968-0987
383,Husic Vineyards,189 Ridge Road,Napa,www.husicvineyards.com,812-4909
384,Ideology Cellars,5225 Solano Avenue,Napa,www.ideologycellars.com,299-3930
385,Igneous Wines,P.O. Box 10098,Napa,www.igneouswines.com,253-2001
386,Inglenook,1991 St. Helena Highway,St. Helena,www.inglenook.com,968-1100
387,Ilsley,6275 Silverado Trail ,Napa,www.ilsleyvineyards.com,944-1621
388,Inherit the Sheep,1189 Fourth Ave,Napa,www.inheritthesheep.com/,732-3037
389,J Gregory Cellars,P.O. Box 2747,Yountville,www.jgregorycellars.com,738-7050
390,J. Moss Wines,P.O. Box 5783,Napa,www.jmosswines.com,647-3388
391,Jack Brooks,P.O. Box 738,Calistoga,www.jbvineyard.com,942-1237
392,Jaffe Estate,1240 Spring Street,St. Helena,www.jaffeestate.com,967-9146
393,Jake-Ryan Cellars,P.O. Box 541,Napa,www.jrcellars.com,363-8760
394,James Cole,5014 Silverado Trail,Napa,www.jamescolewinery.com,251-9905 
395,James Creek,2249 James Creek Road,Pope Valley,www.jamescreekvineyards.com,965-2646
396,Jana Wines,830 Fulton Lane,St. Helena,www.scottharveywines.com,968-9575
397,Jaqk Cellars,353 Broadway Street,SF,www.jaqkcellars.com,415 398-1630
398,Jarratt Wines,1925 Shoreham Drive,Charlotte,www.jarrattwines.com,704 490-7716
399,Jarvis,2970 Monticello Rd,Napa,www.jarviswines.com,800 255-5280
400,Jax Vineyards,3468 Highway 128,Calistoga,www.jaxvineyards.com/,415 341-5225
401,Jean Edwards,P.O. Box 667,Montville,www.jeanedwardscellars.com,973 402-8524
402,Jelly Jar Wines,P.O. Box 465,Rutherford,www.jellyjarwine.com,738-3050
403,Jericho Canyon Vineyard,3292 Old Lawley Toll Road,Calistoga,www.jerichocanyonvineyard.com,942-9665
404,Jessup Cellars,6740 Washington Street,Yountville,www.jessupcellars.com,944-8523
405,Jocelyn Lonen Winery,5055 Solano Avenue St. G,Napa,www.jocelynwines.com,257-2821
406,Joel Gott Wines,945 Main Street,St. Helena,www.gottwines.com,963-3365
407,John Anthony,3230 Old Sonoma Road,Napa,www.javwine.com,265-7711
409,Jones Family Vineyards,P.O. Box 352,Calistoga,www.joneswine.com,942-0467
410,Joseph Anthony,1287 Steele Canyon Rd,Napa,www.josephanthonywines.com,966-9808
411,Joseph Cellars,4455 St. Helena Hwy,Calistoga,www.josephcellars.com,942-999
412,Joseph George,1559 Meridian Ave,San Jose,www.josephgeorge.com,408 448-9463
413,Joseph Kent Wines,1052 Caymus Street,Napa,www.josephkentwines.com,478-8363
414,Joseph Phelps,200 Taplin Road,St. Helena,www.jpvwines.com,963-2745
415,JP Harbison,7601 Silverado Trail,Napa,http://jpharbison.blogspot.com/,916 422-1972
417,JR Wines,197 Whistlestop,"Pittsford, NY",www.jrwines.com,204-8271
418,Judd's Hill,2332 Silverado Trail,Napa,www.juddshill.com,255-2332
419,Jules Melange,P.O. Box 10636,Napa,www.julesmelange.com,257-3950
421,Juslyn Vineyards,2900 Spring Mountain Rd,St. Helena,www.juslynvineyards.com,265-1804
422,Kapcsandy Family Winery,1001 State Lane,Yountville,www.kapcsandywines.com,948-3100
423,Karl Lawrence Cellars,1250 Las Posadas Road,Angwin,www.karllawrence.com,963-2943
424,Kate's Vineyard,5211 Big Ranch Road,Napa,www.katesvineyard.com,255-2644
425,Keever,P.O. Box 2906,Yountville,www.keevervineyards.com,944-0910
426,Kelham Vineyards,360 Zinfandel Lane,St. Helena,www.kelhamvineyards.com,963-2000
427,Kelleher Family Vineyards,P.O. Box 3543,Yountville,www.kelleherfamilyvineyards.com,866 531-2580
428,Kelly Fleming Wine,P.O. Box 1207,Calistoga,www.kellyflemingwines.com,942-6849
430,Kenefick Ranch,2200 Picket Road,Calistoga,www.kenefickranch.com,942-6175
431,Kent Rasmussen Winery,1001 Silverado Trail,St. Helena,www.kentrasmussenwinery.com,963-5667
432,Kenzo Estate,8999 Wildhorse Valley Road,Napa,www.kenzoestate.com,259-5408
433,Kind Cellars,P.O. Box 84,Angwin,www.kindcellars.com,812-2994
434,Kiss Ridge Vineyard,P.O. Box 3766,Calistoga,www.kissridge.com,857-3455
435,Kitchak Cellars,1094 Hardman Ave,Napa,www.kitchakcellars.com,225-2276
437,Kobalt Wines,P.O. Box 2624,Yountville,www.kobaltwines.com,258-1416
438,Kongsgaard,4050 Spring Mountain Road,St. Helena,www.kongsgaardwine.com,963-1391
439,Kristian Ashe,7688 St. Helena Highway,Oakville,www.kristineashevineyards.com,982-8000
440,Kristian Story Wines,100 Pratt Ave,St. Helena,www.kristianstory.com,637-5798
441,Krupp Brothers Estate,3267 Soda Canyon Road,Napa,www.kruppbrothersestates.com,226-2215
442,Kuleto Estate,2470 Sage Canyon Road,St. Helena,www.kuletoestate.com,963-9750
443,La Jota Vineyard Co,1102 Las Posadas Road,Angwin,www.lajotavineyardco.com,877 222-0292
444,La Sirena,P.O. Box 441,Calistoga,www.lasirenawine.com,942-1105
445,Ladera Vineyards,50 White Cottage Road S,Angwin,www.laderavineyards.com,965-2445
446,Lagier Meredith,4967 Dry Creek Road,Napa,www.lagiermeredith.com,253-0653
447,Lail Vineyards,P.O. Box 249,Rutherford,www.lail-vineyards.com,968-9900
448,Laird Family Estate,5055 Solano Avenue,Napa,www.lairdfamilyestate.com,257-0360x26
449,Lakeside Wine Company,3600 Wooden Valley Road,Napa,www.lakesidewinecompany.com,800 901-7829
450,Lamborn Family Vineyards,Summit Lake Drive,Angwin,www.lamborn.com,925 254-0511
451,Lampyridae Vineyards,P.O. Box 2649,Yountville,www.lampyridaevineyards.com,935-7112
452,Lang & Reed Wine Co.,P.O. Box 662,St. Helena,www.langandreed.com,963-7547
453,Larkin Wines,P.O. Box 3178,Yountville,www.larkinwines.com,944-9105
454,Larkmead Vineyards,1100 Larkmead Lane,Calistoga,www.larkmead.com,942-0167
455,Las Bonitas,1245 Main St,Napa,www.vintnerscollective.com,255-7150
456,LaTour Vineyards,7111 Dry Creek Road,Napa,www.latourvineyards.com,415 381-3935
457,Lava Vine Vineyards,965 Silverado Trail,Calistoga,www.lavavine.com,942-9500
458,Leo Joseph Estate Cellars,1475 Sulpher Springs Road,St. Helena,www.leojosephwines.com,963-0521
459,Levendi Estates,4225 Solano Ave Ste. 633,Napa,www.levendiestates.com,877 538-3634
460,Levy & McClellan,P.O. Box 524,St. Helena,www.levymcclellan.com,963-1282
461,Lewelling Vineyards,1951 Olive Ave,St. Helena,www.lewellingvineyards.com,963-1685
462,Lewis Cellars,4101 Big Ranch Road,Napa,www.lewiscellars.com,255-3400
463,Lieffe Wines,P.O. Box 587,Rutherford,www.lieffwines.com,415 407-0077
464,Lindstrom Wines,P.O. Box 3506,Yountville,www.lindstromwines.com,226-6289
465,Lions Run,P.O. Box 5750,Napa,www.lionsrun.com,287-0273
466,Liparita Cellars,410 Lafata Street #203,St. Helena,www.liparita.com,944-1869
467,Little Lion Company,P.O. Box 321,St. Helena,www.littlelionwinecompany.com,968-5172
469,Lobo Wines,2855 Atlas Peak Road,Napa,www.lobowines.com,224-8322
470,Lokoya,7600 Saint Helena Hwy,Oakville,www.lokoya.com,944-2807
471,Long Meadow Ranch,1775 Whitehall Lane,St. Helena,www.longmeadowranch.com,963-4555
472,Long Vineyards,P.O. Box 50,St. Helena,www.longvineyards.com,963-2496
473,Longfellow Wines,910 Enterprise Way #M,Napa,www.longfellowwines.com,888 533-5569
474,Loomis Family Vineyards,65 Longhorn Ridge Road,Napa,www.loomisvineyards.com,415 882-9494
475,Loubet Vineyards,"1111 Broadway, #2000",Oakland,www.loubetvineyards.com,510 986-6750
476,Louis M. Martini,254 South St. Helena Hwy,St. Helena,www.louismartini.com,968-3361
478,Luna Vineyards,2921 Silverado Trail,Napa,www.lunavineyards.com,255-2474x22
479,Lunar Ridge,3087 Coombsville Road,Napa,www.lunarridgewine.com,257-2210
480,Macauley Vineyards,P.O. Box 398,Rutherford,www.macauleyvineyard.com,963-0263
481,Maclean Wines,P.O. Box 10944,Napa,www.macleanwines.com,258-0729
482,Madonna Estate,5400 Old Sonoma Road,Napa,www.madonnaestate.com,255-8864
483,Madorom Vineyards,1112 Scenic Place,Napa,www.madorom.com,265-8332
484,Madrigal Vineyards,3718 N St. Helena Highway,St. Helena,www.madrigalvineyards.com,942-6577
485,Magito Wines,1446 Industrial Ave,Sebastopol,www.magitowines.com,567-1521
486,Mahoney Vineyards,708 1st Street,Napa,www.mahoneyvineyards.com,253-9463
487,Maldonado Vineyards,3070 Lawley-Old Toll Road,Calistoga,www.maldonadovineyards.com,287-4621
488,Malk Family Vineyards,5850 Silverado Trail,Napa,www.malkfamilyvineyards.com,258-3072
490,Mansfield Winery,1291 Conn Valley Road,St. Helena,www.mansfieldwinery.com,963-1987
492,Marco Digiulio,P.O. Box 1072,Calistoga,www.marcowine.com,942-6144
493,Marketta Wine,528 Coombs Street,Napa,www.markettawine.com,226-5944
494,Mario Bazan Cellars,P.O. Box 2632,Yountville,www.mariobazancellars.com,255-0718
495,Maritas Vineyard,P.O. Box 4164,Napa,www.maritasvineyard.com,259-5313
496,Markham Vineyards,2812 St. Helena Highway N,St. Helena,www.markhamvineyards.com,963-5292
497,Maroon Wines,3565 Hagen Road,Napa,www.maroonwines.com,257-3040
498,Marshall family Wines,P.O. Box 257,Calistoga,www.marshallfamilywines.com,968-5228
499,Marston Family,3600 White Sulphur Springs Rd,St. Helena,www.marstonfamilyvineyard.com,963-8490
500,Martin Estate,P.O. Box 390,Rutherford,www.martinestate.com,967-0300
501,Mason Cellars,714 First St,Napa,www.masoncellars.com,963-5292
502,Massican,1518 Filmore Street,Calistoga,www.massican.com,709-8400
503,Match Vineyards,3060 White Sulpher Springs Rd,St. Helena,www.matchvineyards.com,968-9040
505,Matthiasson Vineyards,P.O. Box 10880,Napa,www.matthiasson.com,265-9349
506,Mayacamas Vineyards,1155 Lokoya Road,Napa,www.mayacamas.com,224-4030
507,Mayback Family Vineyards,P.O. Box 360,Vineburg,www.maybachwine.com,415 922-1099
508,Mckenzie-Mueller,2530 Las Amigas Road,Napa,www.mckenziemueller.com ,252-0186
509,Meander Cellars,P.O. Box 146,St. Helena,www.meanderwines.com,963-3773
510,Melanson Vineyard,1537 Sage Canyon Road,St. Helena,www.melansonvineyard.com,963-7404
511,Melka Wines,P.O. Box 82,Oakville,www.melkawines.com,963-6008
512,Mendelson Wines,809 Coombs Street,Napa,www.mendelsonwines.com,255-7825
513,Merryvale,1000 Main St,St. Helena,www.merryvale.com,963-7777
514,Merus Wines,P.O. Box 360,Napa,www.meruswines.com,251-5551
515,Meteor Vineyard,1510 Diamond Mtn Road,Calistoga,www.meteorvineyard.com,258-2900
516,Mi Sueno Winery,910 Enterprise Way #M,Napa,www.misuenowinery.com,258-6358
517,Michael Pozzan Winery,7830-40 St. Helena Hwy Ste. 122,Oakville,www.michaelpozzanwinery.com,800 848-9630
518,Michael Scott Wines,2993 Brookwood Drive,Napa,www.premierwinebrokers.com,226-1622
519,Midsummer Cellars,107 Lilac Lane,St. Helena,www.midsummercellars.com,967-0432
520,Milat Vineyards,1091 St. Helena Hwy. S,St. Helena,www.milat.com,963-0758
521,Miller Wine Works,P.O. Box 3148,Napa,www.millerwineworks.com,254-9727
522,Minds Eye Winery,1241 Adams St. #1067,St. Helena,www.mindseyewinery.com,266-8457
523,Miner Family Vineyards,7850 Silverado Trail,Oakville,www.minerwines.com,944-9500x17
524,Mirror Wine Company,1360 Main Street Suite A,St. Helena,www.mirrorwine.com,968-5052
525,MJA Vineyards,647 Greenfield Road,St. Helena,www.mjavineyards.com,963-3394
527,Modus Operandi,5225 Solano Avenue,Napa,www.moduswines.com,257-2399
528,Moffett Vineyards,P.O. Box 6078,St. Helena,www.livingston-wines.com,965-3694
529,Montagna Vineyards,1521 Sage Canyon Road,St. Helena,www.montagnavineyards.com,963-8651
530,Monticelli Bros,4446 Stillson St,Napa,www.monticellibros.com,255-9100
531,Monticello Vineyards,4242 Big Ranch Road,Napa,www.corleyfamilynapavalley.com,253-2802x16
532,Moon Tsai,P.O. Box 565,Rutherford,www.moonetsai.com,812-8860
533,Morey Wine Cellars,P.O. Box 4261,Napa,www.moreycellars.com,226-2348
534,Morlet Family Wines,Rockland Road,St. Helena,www.morletwines.com,967-8690
535,Moss Creek Winery,6015 Steele Canyon Road,Napa,www.mosscreekwinery.com,252-1295
537,Mueller Family Vineyards,1515 Diamond Mountain Rd,Calistoga,www.muellerfamilyvineyards.com,942-5662
538,Muir-Hanna Vineyards,1240 Orchard Ave,Napa,www.muir-hanna.com,224-2114
539,Mumm Napa,8445 Silverado Trail,Napa,www.mummnapa.com,967-7700
540,Murphy Wines,1120 Pope Street Ste. 102,St. Helena,www.murphyvineyards.com,967-4272
542,MX Wines,1348-B Lincoln Ave,Calistoga,www.mxwines.com,942-1119
543,Myriad Cellars,P.O. Box 2016,St. Helena,www.myriadcellars.com,287-1630
545,Napa Cellars,2812 St. Helena Highway N,St. Helena,www.napacellars.com,963-5292
546,Napa Smith Winery,1 Executive Way,Napa,www.napasmithwinery.com,255-2912
547,Napa Station,447 Aviation Blvd #106,Santa Rosa,www.napastation.com,284-1094
548,Napa Valley College Estate,2277 Napa Vallejo Highway,Napa,www.nvcwinery.com,253-3259
549,Napa Valley Farms,929 Highway 29,St. Helena,www.napavalleyfarms.com,800 341-4993
550,Napa Wine Co,7830-40 St. Helena Hwy,Oakville,www.napawineco.com,944-1710
551,Narsai & Venus David Vnyrds,350 Berkely Park Blvd #5,Berkeley,www.narsaiwine.com,510 527-7900
552,Neal Family Vineyards,716 Liparita Road,Angwin,www.nealvineyards.com,965-2800
553,Neiman Cellars,631 River Glen Drive,Napa,www.neimancellars.com,224-9923
554,Nemerever Vineyards,P.O. Box 366,Oakville,www.nemerever.com,617 734-9319
555,Nepenthes Vineyard,Gordon Valley Road,Napa,www.nepenthesvineyard.com,427-1800
556,Newton Vineyards,2555 Madrona Ave,St. Helena,www.newtonvineyard.com,963-9000
557,Neyers Vineyards,2153 Sage Canyon Road,St. Helena,www.neyersvineyards.com,963-8840
558,Nichelini Winery,2950 Sage Canyon Road,St. Helena,www.nicheliniwinery.com,963-0717
559,Nickel & Nickel,8164 St. Helena Highway ,Oakville,www.nickelandnickel.com,967-9600
560,Nicolette Christopher,229 Silverado Springs Drive,Napa,www.nicolettechristopher.com,265-0932
561,Nine North Wines,5584 Silverado Trail,Napa,www.ninenorthwines.com,226-5511
562,Nord Estate Wines,P.O. Box 2676,Yountville,www.nordestatewines.com,945-1094
563,Northfield Wines,4205 Big Ranch Road,Napa,www.northfieldwines.com,254-7749
564,Notre Vin,1127 Pope Street Ste. 105,St. Helena,www.notrevin.com,318-3112
565,Nova Wines,P.O. Box 1014,St. Helena,www.marilynmerlot.com,963-5475
566,Oak Cliff Cellars,1471 First Street,Calistoga,www.oakcliffcellars.com,877 821-5304
567,Oakville Cross Wines,P.O. Box 125,Oakville,www.oakvillecrosswines.com,944-9200
568,Oakville East,7730 Silverado Trail,St. Helena,www.oakvilleeast.com,337-2035
569,Oakville Ranch,7781 Silverado Trail,Oakville,www.oakvilleranchvineyards.com,944-9665
571,O'Brien Estate Winery,1200 Orchard Ave,Napa,www.seductionwine.com,252-8463
572,Octave Wines,P.O. Box 585,Rutherford,www.octavewines.com,255-8317
573,Olabisi Wines,974 Lincoln Street,Napa,www.olabisiwines.com,803-0333
574,Oliver Caldwell Cellars,3480 St. Helena Highway,St. Helena,www.caldwellcellars.com,963-2037
575,One Acre,P.O. Box 3674,Yountville,www.oneacrewine.com,337-0379
576,OnThEdge Winery,1255 Lincoln Ave,Calistoga,www.onthedgewinery.com,963-5926
577,Opus One Winery,7900 St. Helena Highway,Oakville,www.opusonewinery.com,944-9442
578,Orin Swift Cellars,116 E. First Street,Napa,www.orinswift.com,967-9179
579,Oro Puro Vineyards,P.O. Box 6230,Napa,www.oropurovineyards.com,252-9222
580,O'Shaugnessey Estate,Call for directions,Angwin,www.oshaughnessywinery.com,965-2898
581,Ostreon Cellars,P.O. Box 3270,Yountville,www.ostreoncellars.com,737-6188
582,Outpost Wines,2075 Summit Lake Drive,Angwin,www.outpostwines.com,965-1718
583,Ovid Winery,255 Long Ranch Road,St. Helena,www.ovidvineyardsstore.com,963-3850
584,Page Wine Cellars,1370 Trancas Street #343,Napa,www.pagewinecellars.com,255-4665
585,Pahlmeyer Winery,P.O. Box 2410,Napa,www.pahlmeyer.com,255-2321
586,Palazzo Wine,3940 Laurel Cnyn Blvd 987,Studio City,www.palazzowine.com,425-5575
587,Palladian Estate Winery,690 Meadowood Lane,St. Helena,www.heronlakewinery.com,963-2108
588,Palmaz Vineyards,4029 Hagen Road,Napa,www.palmazvineyards.com,226-5587
589,Paloma Vineyard,4013 Spring Mountain Road,St. Helena,www.palomavineyard.com,963-7504
590,Paoletti Estates,4501 Silverado Trail,Calistoga,www.giannipaoletti.com,942-0689 
591,Paradigm Winery,1277 Dwyer Road,Oakville,www.paradigmwinery.com,944-1683
592,Parador Cellars,P.O. Box 3298,Yountville,www.paradorcellars.com,256-1770
593,Paraduxx,7257 Silverado Trail,Napa,www.paraduxx.com,945-0890
594,Parallel Wines,2920 Spring Mountain Rd #A,St. Helena,www.parallelwines.com,486-1100
595,Paratus,1945 Mt. Veeder Road,Napa,www.paratuswine.com,253-1722
596,Parry Cellars,3424 Silverado Trail N,St. Helena,www.parrycellars.com,967-8160
598,Patland Estate Vineyards,2431 Soda Canyon Road,Napa,www.patlandvineyards.com,888 539-4717
599,Patricia Howe Wines,1720 Spencer Street,Napa,www.pathowe.net,258-1763
600,Patz & Hall,851 Napa Vly Corp Way #A,Napa,www.patzhall.com,265-7700
601,Pavi,750 Chiles Ave,St. Helena,www.paviwines.com,963-9566
602,PB Hein Vineyards,140 Pine Place,St. Helena,www.pbheinvineyards.com,967-8638
603,Peacock Family Vineyard,3100 Spring Mountain Rd.,St. Helena,www.peacockfamilyvineyard.com,967-0770
604,Pedemonte Cellars,1151 Broadmoor Drive,Rutherford,www.pedemontecellars.com,933-8352
605,Pedras Wine Company,5040 Silverado Trail,Napa,www.pedraswine.com,287-4925
606,Peju,8466 St. Helena Highway,St. Helena,www.peju.com,963-3600x333
607,Penche Wines,1251 Orchard Ave,Napa,www.penchewine.com,260-7653
608,Pepin Vineyard,1156 Mee Lane,St. Helena,www.pepinvineyard.com,963-0980
609,Perata Vineyards,P.O. Box 3388,Yountville,www.peratavineyards.com,944-2299
611,Peripoli Estate Winery,P.O. Box 282,Napa,www.peripolli.com,255-9992
612,Perry Moore Wine,716 W. Whiting Ln,Arl Heights,www.perrymoore.com,968-0888
613,Peter Franus Wines,P.O. Box 10575,Napa,www.peterfranus.com,945-0542
614,Phelan Vineyard,1003 Dealy Lane,Napa,www.phelanvineyard.com,257-6175
615,Philip Togni Vineyard,3780 Spring Mountain Road,St. Helena,www.philiptognivineyard.com,963-3731
616,Phipps Family Cellars,700 Technology Way,Napa,www.pfcwine.com,265-0677
617,Phiver Pavitt,4660 Silverado Trail,Calistoga,www.phiferpavittwine.com,942-4787
618,Phoenix Vineyards,3175 Dry Creek Rd,Napa,www.phoenixvineyards.com,255-1971
620,Pina Cellars,8060 Silverado Trail,Napa,www.pinanapavalley.com,738-9328
621,Pine Ridge Winery,5901 Silverado Trail,Napa,www.pineridgewinery.com,253-7500
622,Pink Girl Wines,P.O. Box 854,Napa,www.pinkgirlwines.com,255-7357
623,Plumpjack,620 Oakville Cross Road,Oakville,www.plumpjack.com,945-1220
625,Polaris Wines,855 Bordeaux Way St. 860,Napa,www.polariswines.com,259-0476
626,Pope Valley Winery,6613 Pope Valley Road,Pope Valley,www.popevalleywinery.com,965-1246
627,Porter Family Vineyards,1189 Green Valley Road,Napa,www.porterfamilyvineyard.com,265-7980
628,Portfolio Winery,86 El Nido Drive,Napa,www.portfoliowinery.com,265-6555
629,Pott Wines,2272 Mount Veeder Road,Napa,www.pottwines.com,226-3277
